,,,,,,
,,,,,,
Número Vueltas ,Tiempo  (s),Race time left  (min),Comentarios,,,
1,29,,,,,
2,28,,,,,
3,26.97,,,,,
4,26.57,,Mejor vuelta de Horta,,,
5,27.32,,,,,
6,27.02,,,,,
7,26.87,,,,,
8,26.97,,,,,
9,27.37,,,,,
10,27.62,,,,,
11,28.01,,,,,
12,27.72,,,,,
13,27.03,,,,,
14,27.36,,,,,
15,27.45,,,,,
16,28.04,,,,,
17,27.12,,,,,
18,27.64,,,,,
19,28.87,,,,,
20,28.31,,,,,
21,28.43,,,,,
22,27.82,,,,,
23,27.79,,,,,
24,27.76,,,,,
25,29.13,,,,,
26,28.56,,,,,
27,29.56,,,,,
28,28.85,,,,,
29,28.97,,,,,
30,28.79,,,,,
31,29.29,,,,,
32,30.82,,,,,
33,30.22,,,,,
34,30.35,,,,,
35,30.92,,,,,
36,30.34,,,,,
37,30.21,,,,Total de vueltas ,111
38,30.79,,,,,
39,30.69,,,,,
40,36.28,40:50:00,,,,
41,30.6,,,,,
42,31.01,,,,,
43,31.93,,,,,
44,32.1,,,,,
45,32.29,,,,,
46,31.79,,,,,
47,32.44,,,,,
48,31.8,,,,,
49,31.8,,,,,
50,32.3,,,,,
51,33.2,,,,,
52,33.2,,,,,
53,33.02,,,,,
54,33.02,,,,,
55,33.17,32:48:00,Salida a pits,,,
,3.06,3:05,Tiempo en pits,,,
,,29:35:00,Reincorporación ,,,
1,26.24,,,,,
2,28.04,,,,,
3,27.16,,,,,
4,25.73,,Mejor vuelta Gael,,,
5,28.99,,,,,
6,29.84,,,,,
7,28.29,,,,,
8,31.7,,,,,
9,30.77,,,,,
10,27.72,,,,,
11,28.7,,,,,
12,27.54,,,,,
13,27.02,,,,,
14,27.68,,,,,
15,29.71,,,,,
16,32.47,,,,,
17,26.85,,,,,
18,26.39,,,,,
19,27.11,,,,,
20,28.67,,,,,
21,31.29,,,,,
22,26.6,,,,,
23,27.24,18:38,,,,
24,26.47,,,,,
25,29.1,,,,,
26,27.85,,,,,
27,28.59,,,,,
28,28.28,,,,,
29,27.65,,,,,
30,28.29,,,,,
31,30.14,,,,,
32,29.63,,,,,
33,28.48,,,,,
34,35.89,,,,,
35,32.62,,,,,
36,32.58,,,,,
37,30.8,,,,,
38,31.4,,,,,
39,32.11,,,,,
40,33.91,10:00:00,,,,
41,32.39,,,,,
42,30.36,,,,,
43,33.75,,,,,
44,30.66,,,,,
45,30.32,,,,,
46,32.29,,,,,
47,30.07,,,,,
48,37.33,5:48:00,,,,
49,35.84,,,,,
50,37.67,,,,,
51,43.6,,Bandera amarila,,,
52,43.6,,Bandera amarila,,,
53,47.5,,Bandera amarila,,,
54,44.46,,Bandera amarila,,,
55,44.15,,Bandera amarilla ,,,
56,49,,Bandera amarilla y última vuelta ,,,